Theme	Parent	Definition	Example	References
exceedingly devious alien	culturally distinguished life form	A race of aliens defined by their abnormally devious nature, prominently the Romulans.		
exceedingly ruthless alien	culturally distinguished life form	A race of aliens defined by their abnormally ruthless nature, prominently the Cardassians.		
exercising self-restraint	introspection	Someone acknowledges their own emotions but refrains from giving them an outlet.	Riker urged Troi to exercise a modicum of self-restraint shortly after she picked up a young ensign on the turbolift in tng6x03 "Man of the People".	https://en.wikipedia.org/wiki/Self-control
existential risk	alternate society	The category of themes that are about how life on a planet (notably Earth) could come into jeopardy. An event that would destroy an entire humanoid species or irreversibly cripple its civilization so that it could not reach its full potential is posited.		
expecting parents	parenting	The lives of (typically) two soon-to-be parents between confirmed conception and the birth of a child is explored.		
experimental medical procedure	medical ethics	The question of where to draw the line when it comes to the use of experimental medical procedures is featured. Examples include when a doctor resorts to the use of such procedures on his or her patients either in the name of the advancement of medical science or as a last resort on a critically ill patient.	Dr. Toby Russell wanted to test out her new surgical procedure for spinal transplantation on Worf but Beverly remonstrated in tng5x16 "Ethics".	https://en.wikipedia.org/wiki/Category:Experimental_medical_treatments
exploitation of sentient beings	human rights	We are made to ponder what is needed for a creature to be considered sentient and when the exploitation of such a creature becomes shameful. Exploiting beasts of burden is typically condoned but the same treatment of human beings would be morally reprehensible.		
exploiting a lover	romantic relationship	Someone scrupulously takes advantage of their lovers devotion for personal gain.		
exponential growth	topic in science	A very rapid kind of growth by which the amount of a quantity increases at a rate proportional to the amount already present.		https://en.wikipedia.org/wiki/Exponential_growth
expressing feelings	one-on-one interaction	The various troubles involved in expressing one’s feelings to another are featured.	Data expressed his affection for Spot the cat in characteristic android fashion by reciting "Ode to Spot" in tng6x05 "Schisms".	
external immune system	human enhancement	A hypothetical immune system that extends outside the body, attacking potential diseases before they can even come close.	Sara Kingsley’s genetically engineered super-children had such an effective immune system that it attacked pathogens before they could even get near the body in question in tng2x07 "Unnatural Selection"; unfortunately it also attacked other people.	
extinct interstellar civilization	miscellaneous life form	A civilization that flourished to the extent that they colonized other planets, but then went extinct for some reason or another. What perils may the distant future hold in store?		
extra-dimensional alien	superior life form	Aliens said to be native to another dimension is featured. By "another dimension" it is usually meant a reality that is not reachable for us by conventional traversal of space, and that have somewhat different laws of nature.		
extradition	diplomacy	One sovereign faction gives up a prisoner to the care of another soverign faction.		https://en.wikipedia.org/wiki/Extradition
extrasensory perception	discredited scientific theory	The discredited theory that information can be received directly by the mind itself in addition to the recognized physical senses.	Elizabeth Dehner was reported to have an esper rating of 089 and an aperception quotient of 20/100 in tos1x01 "Where No Man Has Gone Before".	https://en.wikipedia.org/wiki/Extrasensory_perception, http://www.sf-encyclopedia.com/entry/esp
extraterrestrial threat	existential risk	The category of themes that suggest ways in which civilization on Earth (or some inhabited planet) could come under threat because of the actions of a life form from outside. When will the Martians invade?		
extremely religious alien	culturally distinguished life form	A race of aliens defined by their abnormally religious nature, prominently the Bajorans.		
extremism	contemporary social issue	Religious or political ideologies far outside the mainstream attitudes of society that are considered to be threatening to the established order.	Ensign Ro Laren infiltrated a group of Bajoran terrorists known as the Maquis in tng5x03 "Ensign Ro".	
face patch	human enhancement	Like an eye patch, but covering half of the face.	The "steady, reputable, and occasionally brilliant" Dr. Thomas Leighton sported a face patch in tos1x12 "The Conscience of the King".	
facing a conspiracy	facing general adversity	Someone faces a secret conspiracy that aims to produce some nefarious outcome.	Ensign Ro got herself mixed up in an elaborate conspiracy to eradicate a Bajoran terrorist cell in the eponymous episode tng5x03 "Ensign Ro".	
facing a ferocious beast	survival	Someone experiences what it is like to face a fearsome animal or some other kind of beast-like creature.	Captain Kirk was the victim of a nearly fatal mugato attack in tos2x16 "A Private Little War".	
facing a fight to the death	survival	Someone experiences what it is like to be in a fight to the death.	Spock got the better of Captain Kirk in the mother of all fights to the death in tos2x05 "Amok Time".	
facing a hostage situation	facing general adversity	Someone is involved in a hostage situation.	The Pakled held Geordi hostage in the hopes of getting some Federation goodies in exchange for the engineer in tng2x17 "Samaritan Snare".	http://tvtropes.org/pmwiki/pmwiki.php/Main/HostageSituation
facing a mortal enemy	survival	Someone faces their mortal enemy, i.e., someone who would be happy to see them dead.	Captain Picard faced the evil genius Dr. James Moriarty in tng2x03 "Elementary, Dear Data" and tng6x12 "Ship in a Bottle".	
facing a pandemic	facing general adversity	Someone tries to deal with a highly infectious disease running rampant through a population.	A weary band of space lepers had their sights set on bringing themselves, and possibly their disease, to planet Haven in tng1x11 "Haven".	https://en.wikipedia.org/wiki/Pandemic
facing a ship takeover	facing general adversity	Someone tries to deal with their vessel being space-jacked.	A ragtag band of space hippies took over the Enterprise with the intention of commandeering the vessel and taking it to the mythical planet Eden in tos3x20 "The Way to Eden".	
facing adversity	challenge in life	The category of themes that center around someone confronting something difficult that they actively endeavor to overcome. This includes matters of survival and making a self-sacrifice.		
facing an invading force	survival	Someone experiences what it is like when an invading force comes to attack them and their homeland.	The Delta Rana IV colonists faced a Husnock invading force very poorly by getting slaughtered down to the last man in tng3x03 "The Survivors".	
facing an overpowering adversary	survival	Someone learns what it is like to come up against an opponent that is many times more capable than themselves.	The future of humanity was at stake in tng4x01 "The Best of Both Worlds, Part II" when the Borg came knocking in Sector 001: Earth’s sector.	
facing general adversity	facing adversity	The category of themes that involve someone confronting something difficult that they actively endeavor to overcome, but that is not a matter or survival and does not require a self-sacrifice.		
facing life in an insane asylum	facing general adversity	Someone faces living as a patient in an insane asylum with few prospects of release.	Nefarious aliens made Riker believe he might live out his life in an insane asylum on Tilonus IV in tng6x21 "Frame of Mind"	
facing life in captivity	facing general adversity	Someone faces living as a captive with no reasonable prospect of escape.	Fivas Fajo kidnapped Data to sit the android on display in his collection of rare and unusual objects tng3x22 "The Most Toys".	
facing mysterious adversity	facing general adversity	Someone tries to deal with inexplicable and mysterious, undesirable events that threaten them.	Captain Kirk was at a loss for how to explain why everyone had disappeared from the Enterprise in tos3x17 "The Mark of Gideon".	
facing one's darker side	introspection	Someone analyzes their own less desirable attributes and inclinations.	William T. Riker saw his darker side in Thomas Riker in tng6x24 "Second Chances", but the feeling was mutual.	
facing one's darkest fear	facing general adversity	Someone comes face to face with what they fear the most.	Barclay mustered the courage to face his darkest fear of going through the transporter in tng6x02 "Realm of Fear".	
facing wrongful accusations	facing general adversity	Someone must deal with being falsely accused of a misdeed.	Scotty was falsely accused of murdering three women while on shore leave on Argelius II in tos2x07 "Wolf in the Fold".	
fairness	agreeable characteristic	A character displays the ability to make equitable judgements without prejudice or bias.		
faith in a friend	one-on-one interaction	Someone supports a friend by showing unwavering trust in their abilities.	Captain Picard decided to trust Guinan implicitly, albeit after been on the receiving end of  a stern talking to from the Ten Forward bartender, in tng3x15 "Yesterday's Enterprise".	
faith vs. reason	religion	The central question in the battle between the secular (science) and the ecclesiastical (religion): Is there a valid source of knowledge, i.e., revelation, that is not derived from reason and not subject to scientific experimentation?		https://en.wikipedia.org/wiki/Faith_and_rationality
fall out from a one night stand	romantic relationship	The various interpersonal troubles that can come after a poorly considered one night stand are illustrated. Can you remain friends?	Helen Noel reminded Captain Kirk about what happened between them when he dropped in at the science lab Christmas party in tos1x10 "Dagger of the Mind".	
falling out of friendship	one-on-one interaction	Two friends stop being friends, for example, because they come to disagree about an important issue.		
false flag operation	war	A faction that wants to make war creates an incident and blames it on the enemy. The real warmongerers can then attack while falsely claiming that their targeted enemy started the hostilities.	The Enterprise-D nearly destroyed a Lysian space station in revenge but then it turned out the whole situation had been orchestrated by the Sataarans in tng5x14 "Conundrum".	https://en.wikipedia.org/wiki/False_flag
familial love	love	The category of themes that pertain to love among family and friends.		
familial relations	family affairs	The category of themes that point to relationships between persons who are close enough to plausibly think of each other more-or-less as family.		
family affairs	social interaction	The category of themes that are about interpersonal relations and interaction within a family.		http://www.infobasepublishing.com/Bookdetail.aspx?ISBN=0816071616
fascism	social order	There is a system of authoritarian nationalism in the best traditions of Mussolini’s Italy (1922-43) or Hitler’s Third Reich (1933-45).	Federation cultural observer John Gill ill-advisedly instituted a Nazi state on the planet Ekos in tos2x23 "Patterns of Force".	https://en.wikipedia.org/wiki/Fascism
father and daughter	familial relations	The relationship between a father and his daughter is featured.		
father and son	familial relations	The relationship between a father and his son is featured.		
father and son rivalry	growing up	There is conflict between father and son in keeping with the Oedipusean tradition.	Riker settled his long-standing rivalry with his father Kyle in the anbo-jtytsu dohyo tng2x14 "The Icarus Factor".	
fatherly disappointment in a son	parenting	A son is not all that his father wishes him to be.		
fear	unpleasant emotion	Someone experiences anxiety about the near future in a way that rises above "apprehension", but is not so intense that they loose self-control and scream out in "terror". This theme is typically used when a character percieves a clear and present physical danger.	Beverly revealed her fear of heights to Captain Picard in tng7x08 "Attached".	https://en.wikipedia.org/wiki/Fear
fear for one's life	unpleasant emotion	A character is terrified because there is a chance that they may soon be killed or otherwise die.		
fear of an unknown future	unpleasant emotion	A character is afraid owing to the prospect of an uncertain and unfamiliar future.		
fear of the lord	religion	The believers sense of respect, awe and submission in front of their god.		
fear of the unknown	unpleasant emotion	A character is afraid because they have encountered something that is foreboding but unknown.		
federalism	social order	Societies with distinct political systems have come together and formed an overarching level of government that works in tandem with the individual systems.		https://en.wikipedia.org/wiki/Federalism
feeling of helplessness	state of mind	Someone feels distress at being unable to do something about a bad situation.		
feeling of unfulfillment	state of mind	Someone feels that their life lacks purpose and they are achieving nothing meaningful.		
felinoid alien	earth-life inspired life form	An alien race patterned after cats.	A race of carnivorous, feline humanoids, known as the Kzinti, were featured in tas 1x14 "The Slaver Weapon".	
female bonding	one-on-one interaction	Two mature adult women strengthen their friendship by engaging in stereotypically female bonding activities such as chit-chatting about Willaim T. Riker.	Ro found her confidant in Guinan in tng5x03 "Ensign Ro".	
female fickleness	female stereotype	A woman changes her opinions and affections suddenly and for no external reason, to the extent that the sexist stereotype is suggested.	Eleen of the Ten Tribes on Capella IV could not decide if she’d rather have McCoy as the father of her child or see him dead in tos2x03 "Friday's Child".	
female gold digging	female stereotype	A woman pursues a potential mate because of his wealth and power.		
female independence	the battle of the sexes	The woman struggle to become less dependent on others, particularly men, is featured.	Female android Rayna was perhaps oppressively tied to her father and suitor Flint in tos3x21 "Requiem for Methuselah".	https://en.wikipedia.org/wiki/Independent_woman
female jealousy	female stereotype	A woman exhibits jealousy towards other women over men or appearances.		
female need for male companionship	female stereotype	The sexist idea that women much more than men have a particular need for a life partner is featured.		http://tvtropes.org/pmwiki/pmwiki.php/Main/Clingyjealousgirl
female stereotype	gender issue	The category of themes that (correctly or incorrectly) highlight attributes that are believed to be typical of contemporary women. Many of these may be considered sexist today.		
female vanity	female stereotype	A woman shows excessive concern for her appearance.		
femininity	female stereotype	Qualities and mannerisms that are associated with the feminine sex in contemporary society are featured.		https://en.wikipedia.org/wiki/Femininity
fiancée and fiancée	familial relations	The relationship between two people engaged to be married is featured.		
fictional apparatus	novel sci-fi concept	The category of themes that feature fantastical gadgets like tractor beams and teleporters.		
fight vs. flee	personal practical dilemma	Someone must decide, in a given confrontational situation, whether the better course of action is to stay and fight or to flee (perhaps to survive to fight another day).		
filial love	familial love	The love of a child for their parent is featured. This is not used for very young children who just cling to their parents instinctively.		
film appreciation	the fine arts and the humanities	How best to appreciate films is discussed.	Edith Keeler wanted to catch a Clark Gable film with Captain Kirk in tos1x28 "The City on the Edge of Forever", but she got herself hit by a car instead.	https://en.wikipedia.org/wiki/Film_criticism
first crush	romantic relationship	A young person becomes romantically infatuated for the first time.		http://tvtropes.org/pmwiki/pmwiki.php/Main/FirstLove
first strike tactic	the art of war	Combatants decide to attack preemptively because they are convinced their opponent is about to attack.	Worf articulated this combat advice in tng2x02 "Where Silence Has Lease".	
fish-like alien	earth-life inspired life form	An alien race patterned after fish.	Worf considered the fish-like Antedeans to be "a handsome race" in tng2x19 "Manhunt"	
flatscreen TV	real gadget	A TV with an entirely flat screen. This was sci-fi back in the 60s.	Flint had a fancy flatscreen TV which he used for illicit surveillance of his guests in tos3x21 "Requiem for Methuselah". People did not have such devices when this episode was made so it constitutes sci fi.	https://en.wikipedia.org/wiki/Flat_panel_display
flattery	one-on-one interaction	Someone takes unusual pains to flatter someone else.	Berlinghoff Rasmussen nearly conned the Enteprise-D crew after putting them at ease with his silver tongue in tng5x09 "A Matter of Time".	https://en.wikipedia.org/wiki/Flattery
flee to fight another day	the art of war	Combatants decide to run from a battle in which they are at a disadvantage and holds that this is sensible rather than cowardice as it will allow them to fight again later.		
flirtation	romantic relationship	Playful and seductive manners are employed to subtly express romantic interests in a prospective partner.	Thadiun Okona, a self-described rogue, not so subtly expressed his romantic interest in Lt. B.G. Robinson in tng2x04 "The Outrageous Okona".	https://en.wikipedia.org/wiki/Flirting
floating city	mastering space	A city suspended in air by means of anti-gravitational technology.	The political elite on Ardana lived in a floating city named Stratos in tos3x19 "The Cloud Minders".	https://en.wikipedia.org/wiki/Floating_cities_and_islands_in_fiction
flying saucers	crackpot theory	The crackpot theory that flying saucers or other U.F.O.’s are sometimes sighted in the sky.	The 60s era Air Force pilot John Christopher sighted the Enterprise in low Earth orbit in tos1x21 "Tomorrow is Yesterday".	https://en.wikipedia.org/wiki/Unidentified_flying_object, http://www.sf-encyclopedia.com/entry/ufos
food synthesizer	fictional apparatus	A contraption used to produce any of a vast library of tasty meals and foods.		https://en.wikipedia.org/wiki/Replicator_(Star_Trek)
for better or for worse	romantic relationship	Two lovers stick together in spite of significant challenges to their relationship.		
forbidden love	romantic love	The love between two people who can't be together because society deems their relationship unnatural.		http://tvtropes.org/pmwiki/discussion.php?id=59jot0kdjvb4warku9qy2jwe
force field	fictional apparatus	Technology used to produce a (more or less) invisible and impenetrable wall of "force".		
force majeure existential risk	existential risk	The category of themes that suggest ways in which life on Earth (or some inhabited planet) could end because of essentially natural events that we do not control and may have little hope of preventing. When will the sun explode?		
forced resettlement	human rights	We are made to ponder when, if ever, it can be morally justified to coerce someone into moving away from where they have long lived.	The Federation sough to resettle the Native Americans of Dorvan V in order to honor a treaty in tng7x20 "Journey's End".	https://en.wikipedia.org/wiki/Forced_displacement
forced sterilization	past and present moral controversy	We are asked when, if ever, it is acceptable to prescribe sterilization - typically in the context of crime (e.g. for sex offenders).	The Gidoneans conspicuously refused any kind of contraceptive solution in tos3x17 "The Mark of Gideon".	
fortitude	agreeable characteristic	Someone shows a capacity for putting up with hardship and pulling through in spite of it.		
fraternal love	familial love	The love of brother for brother is featured.		
fraud	contemporary social issue	The ramifications of legal fraud in society are explored.	Ardra conned an entire planet by pretending to be their Antichrist in tng4x13 "Devil's Due".	
free inquiry vs. obedience	social dichotomy	The social principle of being allowed to speak freely without fear of retribution is contrasted with the principle of being obedient to higher authorities and greater causes. Should we, for example, stop people from advertising medicines that experts believe to be fake?		
free love	way of life	Someone shares their love freely and (at least ostensibly) accepts that others do the same. This is as opposed to monogamy and being jealous about a partners love affairs.	The hedonistic Edo from the planet Rubicun III shared their love freely in tng1x08 "Justice".	https://en.wikipedia.org/wiki/Free_love
free love utopia	utopia	Society is seemingly paradisical because everyone in it shares their love freely without restraint, shame, or envy.	The hedonistic Edo from the planet Rubicun III shared their love freely with anyone who happened to pass by as long (as long as they were of age) in tng1x08 "Justice".	https://en.wikipedia.org/wiki/Free_love
freedom from torture	human rights	We are made to ponder what treatments are to be considered "torture" and when, if ever, it may be morally justified to employ it.		https://en.wikipedia.org/wiki/United_Nations_Convention_against_Torture https://en.wikipedia.org/wiki/Torture#Laws_against_torture
freedom of information vs. patent system	past and present moral controversy	We are asked to what extent, if any, information can be owned and whether there should be restrictions on the sharing and use of information through things like patents and copyright.	Harry Mudd discussed such legalisms with Kirk in tos2x12 "I, Mudd".	
freedom of movement	human rights	We are made to ponder when and to what extent people should have the freedom and capability to go where they please.	The colonists on Moab IV wrestled with the dilemma of whether people were allowed to leave in tng5x13 "The Masterpiece Society" since it would upset their fragile social order.	https://en.wikipedia.org/wiki/Freedom_of_movement
freedom of religion	human rights	We are made to ponder to what extent people should be free to practice what religious beliefs they please. What you believe may be your own business but is it ok to scare your children with stories of hellfire and brimstone?	Alternative religions were frowned upon in ancient space Rome in tos2x14 "Bread and Circuses".	https://en.wikipedia.org/wiki/Freedom_of_religion
freezing up in a critical moment	coping with stress	Someone can’t handle the stress of an intense situation and freezes up in a critical moment when they should have acted.	Dave Bailey froze up at the conn when Captain Kirk ordered him to fire the main phasers at a menacing space cube in tos1x02 "The Corbomite Maneuver".	
friendship	one-on-one interaction	The friendship between two characters is featured.		https://en.wikipedia.org/wiki/Friendship
fright tactic	the art of war	Combatants take some action to scare and demoralize an enemy.	Giant ape creatures were scared off with technological wizardry in tos1x13 "The Galileo Seven", albeit without lasting success.	
frustration	unpleasant emotion	Someone exhibits irritation as a consequence of being unable to influence events or achieve what they desire.	Sirna Kolrami forfeited a game of Strategema against Data in frustration in tng2x21 "Peak Performance".	
future point of view	views and customs	We are shown what things might seem like in the here and now if viewed from a future person’s perspective.		
galactic barrier	what's out there	A hypothetical negative energy field surrounding the Milky Way Galaxy.	The Enterprise traversed the galactic barrier in tos1x01 "Where No Man Has Gone Before".	http://memory-alpha.wikia.com/wiki/Galactic_barrier
galactic master race	superior life form	There is a race of beings that have achieved dominance over most other alien races in their galaxy.	The Slavers a billion years ago used their weird mental powers to dominate the galaxy in tas1x14 "The Slaver Weapon".	
galaxy-wide holy war	man-made existential risk	War primarily caused by religious differences is fought on so wide a scale that it imperils all life in a galaxy.	The ancient artifact "The Soul of Skorr" could have ignited a holy war throughout the galaxy in tas1x16 "The Jihad", but a team of brave heroes with Kirk in the lead managed to intervene.	
gambling addiction in society	contemporary social issue	The social consequences of gambling addiction, such as the harm caused to those other than the gambler, are explored.	The pursuit of a good gamble had turned the Triskelian society into one of slavery and sadism in tos2x17 "The Gamesters of Triskelion".	https://en.wikipedia.org/wiki/Problem_gambling
gas giant collision	what's out there	Two gas giants, like Jupiter and Saturn, collide to form a larger planet.	The collision of Detria II with Detria VI was a spectacular process that culminated in the formation of a new star in tng6x12 "Ship in a Bottle".	
gas giant dwelling alien	inhospitable environment dwelling life form	Aliens that live in the atmospheres of gas giants, i.e., large planets made largely of gas, like Jupiter.	A gas giant dwelling alien appeared to Geordi in the form of his mother in tng7x03 "Interface".	
gaseous life form	inorganic life form	Aliens composed out of gaseous matter. They are not to be confuse with incorporeal aliens, whose bodies have no kind of matter at all.	Swirls of ionised gas known as the Calamarain sought vengeance against Q in tng3x13 "Deja Q".	
gender issue	domestic social issue	The category of themes that center on gender, and that typically discuss the different roles of the two sexes in society.		http://www.infobasepublishing.com/Bookdetail.aspx?ISBN=0816071616
gender neutral alien	biologically distinguished life form	A sentient species whose members are all the same gender, i.e., neither male nor female.	The J'naii of tng5x17 "The Outcast" are a neither male nor female barring a few curious deviants.	
general relativity	topic in science	A theory of gravitation proposed by Albert Einstein that generalizes special relativity and Newton’s law of universal gravitation, providing a unified description of gravity as a geometric property of space and time.	Holographic recreations of Stephen Hawking, Isaac Newton, and Albert Einstein quibbled about this and other things in tng6x26 "Descent".	https://en.wikipedia.org/wiki/General_relativity
generation loss	topic in science	The loss of quality that occurs between subsequent copies of something, as is observed with photocopy of a photocopy of a photocopy. In the natural world, natural selection tends to mitigate this effect.	The repeated cloning of people illustrated this principle in tng2x18 "Up The Long Ladder".	https://en.wikipedia.org/wiki/Generation_loss
generosity	heavenly virtue	Someone goes out of their way to help someone else in material terms without being strongly motivated by love or duty: The other may be a stranger or an enemy.	The philosopher king Parmen bestowed gifts upon Captain Kirk, Spock, and McCoy in tos3x12 "Plato's Stepchildren".	https://en.wikipedia.org/wiki/Generosity
genetic engineering	scientific discipline	The scientific study of genes and ways in which they can be modified.		https://en.wikipedia.org/wiki/Genetic_engineering, https://en.wikipedia.org/wiki/Genetics_in_fiction#Genetic_engineering, http://www.sf-encyclopedia.com/entry/genetic_engineering
genetic engineering utopia	utopia	Society is supposedly made perfect through the careful removal of anything undesirable in our genomes.		
genetically engineered supersoldier	human enhancement	A soldier that has been genetically engineered to be capable of operating well beyond normal human limits or abilities.	The Angosians had, during the Tarsan Wars, chemically and genetically enhanced their soldiers, we were told in tng3x11 "The Hunted".	
genocide	war	A whole nation or large ethnic group is killed en masse.		https://en.wikipedia.org/wiki/Genocide
geoengineered planet	mastering space	A planet that has been consciously modified in some grand way, for example by ways of interfering with its climate or volcanic activity.		
geoengineering	scientific discipline	The scientific study of large scale methods by which the general conditions on a planet can be wilfully modified. This may involve the shaping of land masses and oceans, or modification of the climate.		https://en.wikipedia.org/wiki/Climate_engineering
geometric growth	topic in science	A sequence of numbers where each term after the first is obtained by multiplying the previous one by a non-zero constant.	Sulu explained how Gary Mitchell's psychic ability was increasing geometrically in tos1x01 "Where No Man Has Gone Before".	https://en.wikipedia.org/wiki/Exponential_growth
getting a taste of one's own medicine	introspection	Someone is subjected to a treatment they had previously meted out to others, and starts thinking about the experience.		
ghosts	superstition	The soul or spirit of a deceased person appears after death among the living.		https://en.wikipedia.org/wiki/Ghost
giant ape alien	earth-life inspired life form	A sentient alien race patterned after giant, brutish apes.	The Taurus II Anthropoids of tos1x13 "The Galileo Seven" were a giant ape-like species that menaced the shuttlecraft Galileo crew.	
giant space amoeba	spaceborne life form	An amoeba-like being of enormous proportions but with internal components analogous those of living cells, i.e., organelles.	Such a being was encountered in tos2x19 "The Immunity Syndrome".	
girl power	the battle of the sexes	The idea that women are more capable of feats than perhaps society and themselves give them credit for.		https://en.wikipedia.org/wiki/Girl_power https://en.wikipedia.org/wiki/Women%27s_empowerment
give-you-anything scanner	fictional apparatus	A device used to make virtually anything happen at the push of a button.	Barash’s mother had kindly outfitted him with such devices in tng4x08 "Future Imperfect" before abandoning him.	
global unification under a central authority	social order	There is a planet-wide political system with a single authority at the top and war between sovereign states is naught but a distasteful memory.		
global warming	force majeure existential risk	The greenhouse effect and/or other processes cause the temperature on a planet to rise and civilization collapses.	Global warning threatened civilization on the Beta moon of Peliar Zel in tng4x23 "The Host".	https://en.wikipedia.org/wiki/Global_warming
globular cluster	what's out there	A spherical collection of stars orbiting the central bulge of a galaxy.	The Enterprise-D entered the Amargosa Diaspora, an unusually dense globular cluster, in tng6x05 "Schisms".	https://en.wikipedia.org/wiki/Globular_cluster
gluttony	deadly sin	A character indulgences in food and drink to the point of excess.	Troi enjoyed her chocolate cake just a little bit too much in tng3x08 "The Price".	https://en.wikipedia.org/wiki/Gluttony
government concealing information	contemporary social issue	The pros and cons of government secrecy to society are explored.	The Ressikan community on Kataan were kept in the dark about the impending doom of their civilization in tng5x25 "The Inner Light".	https://en.wikipedia.org/wiki/Secrecy#Government_secrecy
grabbing power vs. forgoing power	personal ethical dilemma	Someone gets the opportunity to grab power with which to shape their world, and must choose whether they are really up to the task.		
graciousness in defeat	amicable disposition	Someone accepts a defeat with dignity.	Dr. James Moriarty conceded defeat with impeccable Victorian poise in tng2x03 "Elementary, Dear Data".	
grammar pedantic alien	culturally distinguished life form	An alien that put unusual emphasis on precision in the use of language.	The Treaty of Armens between the Sheliak and the Federation was said to have contained 500,000 words and taken 372 Federation legal experts to draft in tng3x02 "The Ensigns of Command".	
grandmother and grand daughter	familial relations	The relationship between a grandmother and her grand daughter is featured.	Beverly mourned her late grandmother and reminisced in tng7x14 "Sub Rosa".	
great need vs. breaking the law	personal ethical dilemma	The following kind of dilemma is illustrated: Is it morally ok to break certain laws if that is the only way to protect your life? A friend’s life? A pet’s life? Your house?	The Bynars saw no other choice than to hijack the Enterprise-D to save their homeworld in tng1x15 "11001001". If they had asked, the Federation might have said no.	
great need vs. human rights	social ethical dilemma	The following kind of dilemma is illustrated: Can it be morally justified to violate human rights, for example to take someone’s children, if that is the only way to protect your own people?		
grief	unpleasant emotion	A character exhibits that deep "sadness" which comes with loosing someone near and dear. This typically involves the rending of garments and shedding of tears as the character loses self-control.	Captain Kirk both rued and lamented the loss crewman Hendorff in tos2x09 "The Apple". Hendorff, a token redshirt, was shot with poison darts by a pod plant.	https://en.wikipedia.org/wiki/Grief, http://www.infobasepublishing.com/Bookdetail.aspx?ISBN=0816071616
group interaction	social interaction	The category of themes that are about interpersonal relations and interaction within a non-family group of more than two people.		
growing up	family affairs	The category of themes that feature the various problems we may face during early part of our life, i.e., childhood and adolescence.		
guardian and child	familial relations	The relationship between a legal guardian of a child and that child is featured.	Captain Picard reluctantly accepted the responsibility of serving as guardian to Jono in tng4x04 "Suddenly Human".	
guerrilla tactics	the art of war	Tactics suitable for a small disadvantaged force going up against a greater enemy are used. This is not to be confused with terrorist tactics which involve the targeting of civilians.		https://en.wikipedia.org/wiki/Guerrilla_warfare
guilt and evidence	social ethical dilemma	The following kind of dilemma is illustrated: How much and how strong evidence should we require before considering someone guilty of a crime?		https://en.wikipedia.org/wiki/Evidential_burden
gunboat diplomacy	diplomacy	A state representative uses the sinister threat of violence to gain an upper hand in diplomatic negotiation and may, essentially, be dictating terms.	Diplomatic contact was established at gunpoint with inhabitants of star cluster NGC 321 in tos1x23 "A Taste of Armageddon".	
habitable asteroid	what's out there	An asteroid that is hypothetically amenable to human life.	Zefram Cochrane, the inventor of warp drive, was found living on a habitable asteroid in tos2x02 "Metamorphosis".	
habitable moon	what's out there	A moon that is hypothetically amenable to human life.	Captain Picard, Wesley, and the irascible mining shuttle captain Dirgo crash landed on a barely habitable desert moon in tng4x09 "Final Mission".	https://en.wikipedia.org/wiki/Habitability_of_natural_satellites
habitable planet in a binary star system	what's out there	A planet in a binary star system, that is hospitable to humanoid life.	Harry Mudd fled the Enterprise in an absconded shuttlecraft to planet in a binary star system inhabited by a giant, menacing worm in tas1x10 "Mudd's Passion".	
habitable planet in a trinary star system	what's out there	A planet in a trinary star system, that is hospitable to humanoid life.	A trio of disembodied brain aliens ran a humanoid fighting ring on just such a planet in tos2x17 "The Gamesters of Triskellion".	
handheld lab	fictional apparatus	A hand-held multifunction device used for sensor scanning, data analysis, and recording data. In other words: a tricorder.		https://en.wikipedia.org/wiki/Tricorder
handheld multifunction super gun	fictional apparatus	A gun-like device used for all sorts of purposes, including as laser weapon, telescope, pocket calculator, and rocket motor.	An ancient slaver weapon of that kind was uncovered in a stasis box in tas1x14 "The Slaver Weapon".	
hate begets hate	life lesson	The committing of hateful acts cause others to do the same, leading to a vicious self-reinforcing cycle. The same goes for violence.	Areel Shaw argued that it was basic human nature to hate a person who hates you in tos1x14 "Court Martial".	
hatred unites	human nature	People who would otherwise not be allies come to work together because they share the same hated enemy.	It was their hatred of the Zeons that united the Ekosians in tos2x23 "Patterns of Force".	
having a change of heart	introspection	Someone undergoes a significant change their opinions or tastes.		
having a preconception challenged	introspection	Someone is made to question beliefs they had previously taken for granted.		
heavenly virtue	human emotion	The category of themes that illustrate the traditional "heavenly virtues" of Christian theology.		
hedonism	disagreeable characteristic	A character is driven by the pursuit of physical pleasure.	The Edo were quickly revealed to be full-blown sexual hedonists in tng1x08 "Justice".	https://en.wikipedia.org/wiki/Hedonism
heroism	agreeable characteristic	Good deeds are made at great personal risk or great personal sacrifice.		https://en.wikipedia.org/wiki/Hero, http://www.infobasepublishing.com/Bookdetail.aspx?ISBN=0816071616
hibernating alien	biologically distinguished life form	A sentient species that like to spend extended periods of time in a coma-like sleep to preserve energy.	The fish-like Antedeans of tng2x19 "Manhunt" preferred to hibernate on long space-flights.	
high ground advantage	the art of war	Combatants have a military advantage by being at a greater elevation than their opponent. Typically the elevated side gain visibility and can use gravity to their advantage.	Captain Kirk was climbing a mountain in tos1x19 "Arena". Why was he climbing a mountain? To gain a high ground advantage over a Gorn captain against whom he was pitted in a fight to the death.	https://en.wikipedia.org/wiki/High_ground
holding one's tongue	introspection	Someone judiciously refrains from saying something they are otherwise inclined to blurt out.		
