Theme	ThemeID	ParentTheme	Tags	RelatedThemes	Definition	Example
guardian and child	537	familial relations			The relationship between a mentor and the person they are mentoring is featured.	The Traveler played the role of mentor to Wesley in tng1x06 "Where No One Has Gone Before".
husband and wife	149	familial relations			The relationship between a mother and her daughter is featured.	
maker and machine	545	familial relations			The relationship between a mother and her son is featured.	
master and pet	382	familial relations			The relationship between a queen of an egg-laying species and her cache of eggs is featured.	The silicon based Horta was, like a queen bee, protective of her cache of eggs in tos1x26 "The Devil in the Dark".
mentor and protégé	309	familial relations			The relationship between two sisters is featured.	
mother and daughter	355	familial relations			The relationship between an uncle and his nephew is featured.	
mother and son	154	familial relations			The category of themes that point to relationships between persons who are close enough to plausibly think of each other more-or-less as family.	
queen and cache of eggs	1316	familial relations			The category of themes that feature the various problems we may face during early part of our life, i.e., childhood and adolescence.	
sister and sister	922	familial relations			The category of themes that feature the various problems and situations that may arise in the interaction between parents and their progeny.	
uncle and nephew	974	familial relations			A pretty, young, blonde woman is acting silly to the extent that the sexist stereotype is apparent.	Gary Seven’s secretary, Roberta Lincoln, epitomized the ditzy blonde stereotype in tos2x26 "Assignment: Earth".
familial relations	38	family affairs			A woman changes her opinions and affections suddenly and for no external reason, to the extent that the sexist stereotype is suggested.	Eleen of the Ten Tribes on Capella IV could not decide if she’d rather have McCoy as the father of her child or see him dead in tos2x03 "Friday's Child".
growing up	74	family affairs			A woman pursues a potential mate because of his wealth and power.	
parenting	84	family affairs			A woman exhibits jealousy towards other women over men or appearances.	
blond ditziness	760	female stereotype			The sexist idea that women much more than men have a particular need for a life partner is featured.	
female fickleness	1151	female stereotype			A woman shows excessive concern for her appearance.	
female gold digging	819	female stereotype			Qualities and mannerisms that are associated with the feminine sex in contemporary society are featured.	
female jealousy	644	female stereotype			Someone is concerned with what a woman should be like in order to make a good house wife.	
female need for male companionship	820	female stereotype			What women in contemporary society tend to want out of life is discussed, typically with emphasis on things that men would be less concerned with.	
female vanity	532	female stereotype			A woman is featured in a manner suggestive of the stereotype that their sex is illogical.	The presumably genderless and disinterested space probe Nomad concluded that Uhura was a mass of conflicting impulses in tos2x08 "The Changeling".
femininity	462	female stereotype			A phone-booth shaped contraption used to inflict unbearable pain without causing physical injury.	Chekov (mirror universe) was sentenced to a full duration in the agony booth for his role in an assassination attempt on his captain in tos2x10 "Mirror, Mirror".
the qualities of a good wife	958	female stereotype			A trolley that instead of having wheels can float by somehow counteracting gravity.	
what women want	366	female stereotype			A machine that works much like a classical computer but is grown out of organic materials.	
women as irrational bundles of conflicting impulses	1526	female stereotype			A chamber with the capability to make its contents, for all intents and purposes, vanish into thin air.	
agony booth	1028	fictional apparatus			A device used to record and replay your dreams.	The holodeck was employed to monitor Data’s dreams in tng7x06 "Phantasms".
antigrav unit	1041	fictional apparatus			A contraption used to produce any of a vast library of tasty meals and foods.	
biological computer	758	fictional apparatus			Technology used to produce a (more or less) invisible and impenetrable wall of "force”.	
disintegration chamber	794	fictional apparatus			A device used to make virtually anything happen at the push of a button.	Barash’s mother had kindly outfitted him with such devices in tng4x08 "Future Imperfect" before abandoning him.
dream recorder	1130	fictional apparatus			A hand-held multifunction device used for sensor scanning, data analysis, and recording data. In other words: a tricorder.	
food synthesizer	824	fictional apparatus			A gun-like device used for all sorts of purposes, including as laser weapon, telescope, pocket calculator, and rocket motor.	An ancient slaver weapon of that kind was uncovered in a stasis box in tas1x14 "The Slaver Weapon".
force field	647	fictional apparatus			A spiderweb-shaped force field that prevents you from moving once you step onto it.	The Kzinti immobilized Spock and his landing party with a weaponized form of this technology in tas1x14 "The Slaver Weapon".
give-you-anything scanner	1178	fictional apparatus			A device used to make anyone you want anywhere disappear forever at the push of a button.	Evil Kirk had access to such a device in tos2x10 "Mirror, Mirror", the Tantalus field.
handheld lab	538	fictional apparatus			A headband-shaped device used to transfer the wearer’s life-force somewhere else.	Taurean women put such devices on men in tas1x04 "The Lorelei Signal", until Captain Kirk and his crew put a stop to it all.
handheld multifunction super gun	1192	fictional apparatus			A simple belt-like device that can be worn in lieu of a clumsy space suit but that offers the same protection.	
immobilization web	1201	fictional apparatus			A device used to synthesize all sorts of material objects merely out of energy.	L.Q. "Sonny" Clemonds replicated a straight up martini with two olives (for the vitamins) using the Enterprise-D matter replicator in tng1x26 "The Neutral Zone".
kill button	1217	fictional apparatus			A device used to transform material objects into other material objects or into energy.	
life force draining headband	1227	fictional apparatus			A belt-like device used to induce unbearable pain in its wearer without causing physical injury.	The Eymorg outfitted Captain Kirk, McCoy, and Scotty with pain belts in tos3x06 "Spock's Brain".
life-support belt	662	fictional apparatus			A handy device that when attached to a person can be used to induce unbearable pain without causing physical injury.	Spock with a goatee disciplined Kyle (mirror) using an agonizer, i.e. a pain buzzer, for his carelessness at the transporter controls in tos2x10 "Mirror, Mirror"
matter replicator	1245	fictional apparatus			A collar-like device used to induce unbearable pain in its wearer without causing physical injury.	A trio of disembodied brains employed "collars of obedience" to maintain control over their thrall gladiators in tos2x17 "The Gamesters of Triskelion".
matter transmuter	666	fictional apparatus			A medical device implanted in the body to induce unbearable pain in its wearer without causing physical injury.	Arctus Baran was not above using neural servos (i.e. pain implant devices) to keep control over his rogue crew in tng7x04 "Gambit, Part I" and tng7x05 "Gambit, Part II".
pain belt	1278	fictional apparatus			A stick-like device used to induce unbearable pain in its target without causing physical injury.	The "painstick" is the Klingon equivalent of cattle prod. It was usedto inflict pain on Worf in tng2x14 "The Icarus Factor" for ritualistic purposes.
pain buzzer	885	fictional apparatus			A device used to paralyze people in an extended area.	
pain collar	1279	fictional apparatus			Technology that is like the virtual reality of today, but handles all the sense so that it can be all but impossible to distinguish the fantasy world from reality.	
pain implant	886	fictional apparatus			A device that removes unwanted body hair with sonic vibrations: the shave of tomorrow.	Geordi whipped out his sonic razor in front of Data in tng1x04 “Code of Honor”.
pain stick	1280	fictional apparatus			A box used to preserve its contents indefinitely, as if frozen in time.	The versatile Slaver gun had been kept safely in a stasis box for a billion years in tas1x14 "The Slaver Weapon".
paralysis field	888	fictional apparatus			A pen-like device used to make all sorts of things happen at the push of a button.	Agent Gary Seven used such a pen to save the Earth from nuclear holocaust in tos2x26 "Assignment: Earth".
simulated reality	567	fictional apparatus			A portal-like device which can let you pass through it in order to appear anywhere else in the universe.	
sonic razor	1361	fictional apparatus			A device used to move people and objects over vast distances by transforming matter into energy and the reconstituting the matter at the destination.	
stasis box	1389	fictional apparatus			A contraption used to produce a beam of gravity to attract material objects at a distance but in a desired direction.	
super spy pen	1398	fictional apparatus			A device used to seamlessly translate speech between any languages.	
take-you-anywhere gateway	934	fictional apparatus			A programmable room that can produce virtually any imaginable setting, including tangible physical objects, like virtual reality on steroids.	
teleportation device	360	fictional apparatus			A wearable suit that makes it seem as if you were somewhere else, encompassing all the senses.	Geordi used a virtual reality suit to explore a wrecked spaceship in the inhospitable environment of a gas giant planet in tng7x03 "Interface".
tractor beam	730	fictional apparatus			A device used to make your voice sound like that of another.	The android Ruk had a built in voice duplicator that let him impersonate Captain Kirk in tos1x09 “What Are Little Girls Made Of?”
universal translator	441	fictional apparatus			Life on a planet is threatened by an asteroid that is on a collision course with it.	
virtual reality room	135	fictional apparatus			The atmosphere on a planet disappears and civilization collapses.	Worf's unruly brother Nikolai save a group of Boraalan villagers from certain death in a rapid atmospheric dissipation event on their homeworld in tng7x13 "Homeward".
virtual reality suit	1483	fictional apparatus			A biological agent or pathogen wipes out a significant amount of plant-life on a planet and the dependent civilization collapses.	Captain Kirk had to pick up zenite consignment in order to stop such a plague on Merak II in tos3x19 "The Cloud Minders".
voice duplicator	581	fictional apparatus			Our universe somehow collides with another one that is made out of anti-matter and everything goes in a big bang.	Lazarus-A sacrificed himself to stop our universe from colliding with its parallel anti-matter duplicate in tos1x20 "The Alternative Factor".
asteroid impact	594	force majeure existential risk			The sun to a planet becomes colder and civilization collapses.	
atmospheric dissipation	1048	force majeure existential risk			The greenhouse effect and/or other processes cause the temperature on a planet to rise and civilization collapses.	Global warning threatened civilization on the Beta moon of Peliar Zel in tng4x23 "The Host".
botanical plague	1070	force majeure existential risk			A planet becomes so cold that glaciers advance and civilization collapses.	The Eymorg civilization had collapsed when they entered an ice age in tos3x06 "Spock's Brain".
collision with a parallel anti-matter universe	1084	force majeure existential risk			Radiation from some unspecified source wipes out life on a planet.	The Scalosians were nearly wiped out by radiation in tos3x13 "Wink of an Eye".
dying sun	630	force majeure existential risk			The moon to a planet drops out of its normal orbit for some reason and starts on a slow, spiraling collision course with the planet.	The Enterprise-D saved the Natives of Bre'el IV from this fate in tng3x13 "Deja Q".
global warming	1179	force majeure existential risk			A biological agent or pathogen wipes out civilization on a planet.	
ice age	1198	force majeure existential risk			An abnormally strong solar flare roasts the surface of a planet like so many coffee beans, and civilization collapses.	The Irish colonists on Bringloidi V had to be evacuated as their sun began to emit powerful solar flares in tng2x18 "Up The Long Ladder".
mass radiation poisoning	1243	force majeure existential risk			The ever-present background radiation in a galaxy suddenly rises and everyone dies of radiation poisoning.	The Kelvan Empire was imperiled by a rise in ambient radiation across the Andromeda galaxy in tos2x21 “By Any Other Name”.
moon slowly spiraling into a planet	1255	force majeure existential risk			The land levels on a planet sink, or the oceans rise, and civilization disappears into a watery grave.	After seismic disturbances the planet Argo had become almost wholly covered with water and the inhabitants turned themselves into water-breathers in tas1x13 "The Ambergris Element".
pandemic	887	force majeure existential risk			A planet suddenly breaks apart and becomes rubble for no particular reason.	Planets in the Selcundi Drema sector were spontaneously breaking up as a result of natural geologic cataclysms in tng2x15 "Pen Pals".
planet scorching solar flare	1294	force majeure existential risk			A rouge planet or other large astronomical object that is not tied to a particular star comes into collision course with a populated planet.	The genetically engineered colonist utopia on Moab IV was threatened by a stray stellar core fragment from a collapsed neutron star in tng5x13 "The Masterpiece Society".
rise in ambient galactic radiation level	1331	force majeure existential risk			The sun to a planet enters its supernova state and civilization is fried like so many chickens.	
sinking continent	1352	force majeure existential risk			Volcanic activity increases and civilization bites the dust. Pardon the pun.	Terratin civilization on Terra Ten was threatened by volcanic activity in tas1x11 "The Terratin Incident" so Captain Kirk moved them all to Verdanis.
spontaneous planetary break up	1384	force majeure existential risk			The category of themes that (correctly or incorrectly) highlight attributes that are believed to be typical of contemporary women. Many of these may be considered sexist today.	
stray astronomical object	1393	force majeure existential risk			The category of themes that (correctly or incorrectly) highlight attributes that are believed to be typical of contemporary men. Many of these may be considered sexist today.	
sun going supernova	484	force majeure existential risk			The category of themes that are about some aspect of the debates and struggles for supremacy between the male gender and the female gender.	
volcanic cataclysm	1486	force majeure existential risk			It is observed how a shared danger to a group of people can work to forge unity and cooperation within that group.	By facing a ferocious electromagnetic beast together, Captain Picard and the Tamarian Captain Dathon finally figured out how to communicate in tng5x02 "Darmok".
female stereotype	143	gender issues			Members of a group feel that they are an essential part of that group.	
male stereotype	252	gender issues	the workplace		The command hierarchy of an institution is featured.	
the battle of the sexes	152	gender issues			A group of friends compete in an amicable way, typically without dirty tricks and hard feelings.	Junior officer competed amicably for a promotion in tng7x15 "Lower Decks".
a danger shared can bring people together	1021	group interaction			A person in charge uses fear to keep his underlings under control.	
belonging	136	group interaction			Someone uses fine words, speeches, rhetorical tricks etc. to influence a group of people.	
chain of command	407	group interaction			Someone tries to keep something a secret from others around them.	
competition among friends	1087	group interaction		the qualities of a good leader	Someone does a good or bad job of leading a group of people.	
control by intimidation	611	group interaction			Someone has a reduction in their social inhibitions that normally make them care what others think about their words and actions. This typically happens as a result of consuming alcohol or some other mind altering substance.	The entire Enterprise crew let it all hang loose while under the influence of polywater in tos1x06 "The Naked Time".
demagoguery	623	group interaction			Someone looses their self-control and acts on base emotions such as fear or anger, etc.	
keeping secrets	660	group interaction			Allusions of a threat spread through a group causing panic, each person’s fear reinforcing that of the next and in a vicious circle.	
leadership	132	group interaction			Two or more people seek to reach a mutually acceptable arrangement of some sort.	
loss of inhibition	251	group interaction	the workplace		There is scheming, maneuvering, and intrigue in the workplace.	Younglings on the Enterprise pondered how to get ahead in their careers in tng7x15 "Lower Decks".
loss of self-control	854	group interaction	the workplace		The struggle for social dominance in the workplace is featured.	Chief Engineer Logan stormed to the bridge to issue a challenge Geordi's authority in the midst of a heated space battle in tng1x21 "The Arsenal of Freedom". Geordi, who had been left in command of the Enterprise-D, promptly ordered Logan back to main engineering.
mass hysteria	859	group interaction			A member of some group is pressured into making a certain choice by other members of that group.	
negotiation	384	group interaction			A socially awkward character has trouble interacting and communicating effectively with other people.	
office politics	879	group interaction			The importance of, for example, not tearing into a bloody steak with your bare hands in polite company is featured.	Captain Kirk gave Elaan, the Dohlman of Elas, a lesson in table manners in tos3x02 “Elaan of Troyius”.
pecking order	554	group interaction			A paper-pusher with little practical experience of how things are done is suddenly in command of a group in the field.	When Captain Kirk started to loose his wits due to rapid aging, Commodore George Stocker took command of the Enterprise in tos2x11 "The Deadly Years" but not having any field experience he of course made a mess of it.
peer pressure	891	group interaction			Someone causes trouble and discord by not keeping their appointments.	The Tholians were renown for their punctuality in tos3x09 “The Tholian Web”.
social awkwardness	569	group interaction			It is illustrated that groups in which all members conform to common ways of thinking and acting to a high degree, have some potential disadvantages that more diverse groups do not.	The terrible Borg were defeated after Captain Picard found their central off-switch in tng4x01 "The Best of Both Worlds, Part II".
table manners	1402	group interaction			A leader inspires trust in their team members.	
the bureaucrat at command	1415	group interaction			The advantage of discussing ideas with others is illustrated.	Geordi conjured up Leah Brahms on the holodeck and it turned out that together they could do what neither could alone in tng3x06 "Booby Trap".
the importance of punctuality	1426	group interaction	the workplace		People who disagree and dislike each other must seek to work together in spite of their differences.	
there is weakness in conformism	1465	group interaction	the workplace		People must try to work amicably and efficiently together under heavy stress.	
trust in a leader	495	group interaction	the workplace		People form friendships and other interpersonal relationships in the workplace.	
two heads are better than one	1476	group interaction	juvenile		Problems associated with pubescent teenagers are featured.	
working together in spite of disagreement	500	group interaction	juvenile		Someone is regarded as the family disgrace because of their uncouth or criminal ways.	Lore was the family disgrace in the eyes of his goody two-shoes brother Data in tng1x13 "Datalore".
working together under stress	317	group interaction	juvenile	orphanhood	Someone grows up in a community they don’t feel they quite fit in with, perhaps because they are a freaky alien with devilishly pointed ears.	Spock's trials and tribulations as a half-Human child growing up on conservative planet Vulcan were featured in tas1x02 "Yesteryear".
workplace relations	1001	group interaction	juvenile		A child’s typically ephemeral life ambitions are featured.	
adolescence	180	growing up	juvenile		There is conflict between father and son in keeping with the Oedipusean tradition.	Riker settled his long-standing rivalry with his father Kyle in the anbo-jtytsu dohyo tng2x14 “The Icarus Factor”.
black sheep	1068	growing up	juvenile		A child has a friend who is entirely a figment of their imagination.	Clara’s imaginary friend Isabelle became real thanks to a mischievous incorporeal alien in tng5x22 "Imaginary Friend".
childhood as an outsider	605	growing up	juvenile		A juvenile reaches that stage in life when it is time to take leave of mom and dad and face the world.	Wesley wrestled with leaving the comfortable confines of the Enterprise-D to enter Starfleet Academy in tng3x24 "Ménage à Troi".
childhood aspirations	764	growing up	juvenile		A kid is brought up being part of two or more cultures, perhaps because mom and dad have different heritages.	Worf and his mate K'Ehleyr discussed the troubles of growing up with a foot each in two different cultures in tng2x20 "The Emissary".
father and son rivalry	1149	growing up	juvenile	childhood as an outsider	Someone grows up having no parents for all or part of their childhood.	
imaginary friend	1200	growing up	juvenile		A young person imitates someone they look up to.	
leaving the nest	849	growing up	juvenile		There is conflict between brothers and sisters.	
multicultural upbringing	1259	growing up	juvenile		An overindulged, pampered kid acts in a selfish and inconsiderate manner.	Trelane was an alien being of unimaginable power who could create planets out of thin space in tos1x18 "The Squire of Gothos", but he was also a spoiled kid of the kind who would enjoy pulling the wings off of flies.
orphanhood	476	growing up	juvenile	adolescence	A teenager feels anxious about fitting in and being misunderstood as teenagers so often do.	
role models	253	growing up	juvenile		An adolescent deals with the challenge of entrance exams that may determine their future career.	Wesley tried the Starfleet Academy entrance exam and failed in tng1x19 "Coming of Age".
sibling rivalry	565	growing up	juvenile		A juvenile does stupid or criminal things as juveniles so often do before they learn better.	
spoiled brat	570	growing up			Someone refrains from engaging in sexual activity.	Captain Picard declined Ardra's amorous advances when she materialized in his quarters in the middle of the night in tng4x13 “Devil's Due”.
teenage angst	936	growing up		fortitude	Someone is being zealous with respect to a duty or a personal conviction. Note that "fortitude", by contrast, is used when someone perseveres in spite of adversity and hardship.	
university entrance exams	1479	growing up		kindness	Someone goes out of their way to help someone else in material terms without being strongly motivated by love or duty: The other may be a stranger or an enemy.	The philosopher king Parmen bestowed gifts upon Captain Kirk, Spock, and McCoy in tos3x12 “Plato's Stepchildren”.
youthful indiscretion	586	growing up		lesson in humility, pride	Someone downplays their own abilities or receives a lesson in humility that appears effective.	
chastity	175	heavenly virtue		generosity	Someone feels deeply for the plight of another and offers kindness and compassion rather than material aid.	
diligence	89	heavenly virtue		wrath	Someone has every reason to be angry or vengeful but manages to put a lid on it.	Jenna D'Sora needed the patience of Job to keep up a romantic relationship with Data in tng4x25 "In Theory".
generosity	192	heavenly virtue		gluttony	Someone abstains from hedonism and seems like a pretty ascetic fellow, choosing a straightforward and simple lifestyle.	Robert Picard, the elder brother of Jean-Luc Picard, was a man of moderation. In tng4x02 “Family” it was revealed that Robert would not even allow food replicators in his home.
humility	114	heavenly virtue			Someone gets a kick out of digging up old relics and frequenting ancient places.	Captain Picard's much anticipated lecture on archaeological ruins of Tagus III was rudely cut short by Q in tng4x20 "Qpid".
kindness	81	heavenly virtue			Someone gets a kick out of trying to make the universe a better place.	It was revealed that Miranda Vigo had cared for orphans on Camor V in tng7x22 "Bloodlines".
patience	103	heavenly virtue			Someone gets a kick out of betting on the outcome of physical processes such as dice throws.	The Providers, a trio of disembodied brains, had a gambling problem to say the least in tos2x17 "The Gamesters of Triskelion".
temperance	239	heavenly virtue			Someone gets a kick out of curing ailments and treating injuries.	Beverly treated some casualties of a terrorist attack at extreme risk to her personal safety in tng3x12 "The High Ground".
passion for archaeology	387	human aspiration			Someone gets a kick out of hearing or producing harmonious sonic vibrations in the air.	Captain Picard and Nella Daren made beautiful music together aboard the Enterprise-D in tng6x19 "Lessons".
passion for charitable volunteering	1284	human aspiration			Someone gets a kick out of flying about in space and finding new things there.	Captain Kirk marveled at the prospect of observing matter being create at the of center of the galaxy in tas1x08 "The Magicks of Megas-Tu".
passion for gambling	1285	human aspiration			Someone wants nothing better than to become famous for great and grand achievements such as the vanquishing of foes.	
passion for medicine	328	human aspiration			Someone seeks righteous, and typically lawful, vengeance upon some miscreant.	Riker and his team wanted to bring Captain Picard’s presumed murderers to justice in tng7x04 "Gambit, Part I".
passion for music	677	human aspiration			Someone wants nothing better than to improve on their own competences and character.	
passion for space exploration	477	human aspiration			Someone wants nothing better than to become pre-eminently respected in their community.	
the desire for glory	436	human aspiration			Someone seeks to make up for past misdeeds and gain forgiveness.	Worf and his brother Kurn together sought redemption for the father's soiled reputation in tng4x26 “Redemption” and again in tng5x01 “Redemption, Part II”.
the desire for justice	942	human aspiration			Someone, rightly or wrongly, seeks vengeance for a perceived personal injustice.	
the desire for personal development	437	human aspiration			Someone seeks ever further promotion, influence, rank, and salary at work.	
the desire for prestige	943	human aspiration			Someone wants nothing less than to look good.	
the desire for redemption	486	human aspiration			Someone wants nothing less than for others to worship them like a god.	The alien Apollo craved worshipers in tos2x04 "Who Mourns for Adonais?".
the desire for vengeance	119	human aspiration			Someone has wishes to pursue unusual or fanciful ambitions that most people typically do not spend their lives persuing.	
the desire to advance one's career	254	human aspiration			Someone wants nothing better than to acquire more money and possessions.	
the desire to be beautiful	944	human aspiration			Someone seeks ever more influence in society and the means to make people do their bidding.	
the desire to be worshiped	1417	human aspiration			Someone seeks a way to live on forever.	Ira Graves surreptitiously transferred his consciousness into Data in an effort to gain eternal life in tng2x06 “The Schizoid Man”.
the desire to pursue one's dream	707	human aspiration			Someone wants ever more information, understanding, and knowledge.	
the lust for gold	163	human aspiration	positive	disagreeable characteristic	The category of themes that illustrates character traits that are generally admirable and typically considered beneficial to society.	
the lust for power	220	human aspiration	negative	agreeable characteristic	The category of themes that illustrates character traits that are generally disagreeable and typically considered bad for society.	
the quest for immortality	314	human aspiration	positive	antagonistic disposition	The category of themes that illustrate positive attitudes we may have towards one another.	
the thirst for knowledge	158	human aspiration	negative	amicable disposition	The category of themes that illustrate negative attitudes we may have towards one another.	
agreeable characteristic	26	human characteristic	negative	heavenly virtue	The category of themes that illustrate the traditional “deadly sins” of Christian theology.	
disagreeable characteristic	31	human characteristic	positive	deadly sin	The category of themes that illustrate the traditional “heavenly virtues” of Christian theology.	
amicable disposition	37	human disposition	positive	unpleasant emotion	The category of themes that illustrate those emotions that we typically enjoy having.	
antagonistic disposition	117	human disposition	negative	pleasant emotion	The category of themes that illustrate those emotions that we typically do not enjoy having.	
deadly sin	16	human emotion			Technology that undoes aging and takes years of your face!	
heavenly virtue	27	human emotion			An artificially constructed human body into which a real persons mind can be put one way or another.	Renowned exobiologist Roger Korby constructed android “clones” of himself and other people in tos1x09 "What Are Little Girls Made Of?".
pleasant emotion	8	human emotion			Technology that can stop, e.g., a human body from aging or changing in any way for an extended amount of time.	Kamala the Metamorph was kept in a stasis device so that she wouldn’t upset the crew with her erotic powers in tng5x21 "The Perfect Mate".
unpleasant emotion	9	human emotion			Technology by which a brain can be taken out of the body and maintained in a functioning state for an extended amount of time.	The Morg of Sigma Draconis VI used such technology to steal Spock’s big and sexy brain in tos3x06 "Spock's Brain".
anti-aging technology	318	human enhancement		suspended animation	Technology that can freeze, e.g., a human body and thus stop it from aging or changing in any major way for an extended amount of time.	
artificial human body	1044	human enhancement			A hypothetical process by which a creature can be transformed into some creature of an earlier stage in its evolutionary history. E.g., a human could become an ape-like “australopithecus”, or a rat-like “repenomamus”, etc.	
biological stasis technology	1063	human enhancement			A hypothetical immune system that extends outside the body, attacking potential diseases before they can even come close.	Sara Kingsley’s genetically engineered super-children had such an effective immune system that it attacked pathogens before they could even get near the body in question in tng2x07 "Unnatural Selection"; unfortunately it also attacked other people.
brain disembodiment technology	1071	human enhancement			Like an eye patch, but covering half of the face.	The “steady, reputable, and occasionally brilliant” Dr. Thomas Leighton sported a face patch in tos1x12 “The Conscience of the King”.
cryogenic technology	786	human enhancement			A soldier that has been genetically engineered to be capable of operating well beyond normal human limits or abilities.	The Angosians had, during the Tarsan Wars, chemically and genetically enhanced their soldiers, we were told in tng3x11 "The Hunted".
de-evolution	1118	human enhancement			A bewheeled box-like device that keeps you alive and mobile even after the most crippling of catastrophic accidents.	Captain Pike was confined to just such a device in tos1x15 “The Menagerie, Part I” and tos1x16  “The Menagerie, Part II".
external immune system	1142	human enhancement			Technology by which you can inject your brain with knowledge and skill in an instant.	McCoy plugged himself into “The Great Teacher” in order to acquire the knowledge necessary to surgically restore Spock's brain to the Vulcan's body in tos3x06 “Spock's Brain”.
face patch	1145	human enhancement			A hypothetical process that makes you age significantly faster than normal and faster than natural.	When Gamma Hydra IV experienced mild radiation in the tail of a rogue comet, Captain Kirk and some of his team started to age rapidly in tos2x11 "The Deadly Years".
genetically engineered supersoldier	1174	human enhancement			Technology by which, e.g., a human can be controlled by another human at a distance.	McCoy jury-rigged a brainless Spock so that he could be operated by remote control in tos3x06 “Spock's Brain”.
mobile life support box	870	human enhancement			A hypothetical process that makes you age much slower than normal.	McCoy's tricorder scans of the Vaalians in tos2x09 "The Apple" revealed them to not be aging at all, praise be Vaal.
plug-in learning	1306	human enhancement			A hypothetical process by which a human or other biological creature can change shape to a seemingly different kind of creature. This is often featured as an inate ability.	
rapid aging	1319	human enhancement			A sonar-like technology that translates sounds in the environment into something that the brain can use to understand its surroundings in lieu of eyesight.	The blind telepath Miranda Jones wore a sonar-based sensor web dress that helped her to compensate for her disability in tos3x07 “Is There in Truth No Beauty?”.
remote controlled humanoid	1322	human enhancement		cryogenic technology	Technology that can considerably slow basic life processes, e.g., breathing or a heartbeat, in a manner that allows for subjects to be later revived.	
retarded aging	1325	human enhancement			Technology that can make the brain perceive and interpret electromagnetic waves (light) beyond what is normal, i.e., into the infrared or ultraviolet regions and possibly beyond. This is used to describe Geordi's iconic VISOR.	
shapeshifting	918	human enhancement			The committing of hateful acts cause others to do the same, leading to a vicious self-reinforcing cycle.	Areel Shaw argued that it was basic human nature to hate a person who hates you in tos1x14 "Court Martial".
sonar-based artificial vision	1360	human enhancement			People who would otherwise not be allies come to work together because they share the same hated enemy.	It was their hatred of the Zeons that united the Ekosians in tos2x23 "Patterns of Force".
suspended animation	701	human enhancement		love does not transcend all bounds	Two lovers have such strong feelings for each other that prove to survive surprisingly difficult obstacles, e.g., years of separation.	Anne Nored remained as deeply in love as ever with Carter Winston even after it came to light that he was a betentacled alien spy in tas1x06 "The Survivor".
vision beyond the visible spectrum	734	human enhancement		love conquers all	The time tested wisdom that “love conquers all” is refuted by an illustration of how two lovers drift apart because of some obstacle.	While Beverly would go far for the sake of love she drew a firm line at lesbianism when her lover switched gender in tng4x23 "The Host".
hate begets hate	1193	human nature			Someone who was of a certain character proves later to have changed in a profound and, perhaps, surprising way. For example, a no-good punk, juvenile delinquent reforms their wicked ways to become a veritable saint.	Returning defector Stefan DeSeve had really seen the error of his ways in tng6x14 "Face of the Enemy".
hatred unites	1194	human nature			Someone who was decent gains power and because of the power becomes nasty.	
love conquers all	1234	human nature			The human tendency to fawn over strong and powerful beings (or things) is featured.	
love does not transcend all bounds	1235	human nature			How and why we feel flattered is discussed.	
people can change	1287	human nature			The human tendency to sometimes engage in mostly meaningless and idle chit-chat is featured.	Data studied the master of smalltalk Calvin “Hutch” Hutchinson in tng6x18 “Starship Mine”.
power corrupts	388	human nature			The problem our brain has with comprehending very large numbers is featured. How does the radius of the universe compare with, say, the length of your nose?	Spock pointed out in tos2x19 "The Immunity Syndrome" how the human mind finds it easier to understand the death of one than the death of a million.
the admiration for strength	938	human nature			The all too familiar human penchant for violence is discussed.	The Melkotians deplored the human instinct for violence and sought to turn it against the Enterprise crew in tos3x01 "Spectre of the Gun".
the art of flattery	939	human nature			Those ancient instincts that are deeply rooted in the reptile core of our brains are discussed. They typically involve aggression, survival, and reproduction.	Suppressed animal instincts come to the surface as the crew begins to de-evolve in tng7x19 "Genesis".
the art of smalltalk	940	human nature			What children’s innate attributes and behaviors are is discussed.	Earth Two was populated wholly by child Onlies in tos1x11 "Miri" as all the adults had succumbed to a disease.
the human mind and big numbers	1423	human nature			Existential questions about the end of life are discussed.	The immortal alien being Nagilum killed Enterprise-D crew in order to understand the nature of this whole dying business in tng2x02 "Where Silence Has Lease".
the instinct for violence	1427	human nature			How friendships work, end, or come about is discussed.	Data the emotionless android emphatically explained the essentials of friendship to Ishara in tng4x06 "Legacy".
the nature of animal instincts in humans	1434	human nature			The emotion of grief and associated activities are pondered.	Captain Picard explained how grief is a natural part of the human life cycle to an incorporeal alien in tng3x05 "The Bonding".
the nature of children	278	human nature			What emotions are and what they mean to us is discussed.	
the nature of death	1436	human nature			How we sense and think of time is discussed.	Data put the aphorism “a watched pot never boils” to the test in tng6x25 “Timescape”.
the nature of friendship	1437	human nature			What it means to leave people in stitches is pondered.	
the nature of grief	1438	human nature			What it is that distinguishes us as individuals from other people in the mass of humanity, is pondered.	
the nature of human emotions	397	human nature			The emotion of love and associated activities are pondered.	
the nature of human perception of time	951	human nature			The ways by which we sway each others’ opinions are pondered.	Expert negotiator Ral soliloquize about this in tng3x08 "The Price".
the nature of humor	712	human nature			The deep and profound mysteries of the sneeze are examined.	Wesley stumbled on Data practicing his artificial sneezing in tng1x13 “Datalore”.
the nature of individuality	713	human nature			What our senses are and how they work is discussed.	
the nature of love	575	human nature			The workings of the subconscious mind is explored.	
the nature of persuasion	1440	human nature			How torture affects the mind of victim, perpetrator, bystanders, etc. is explored.	
the nature of sneezing	1442	human nature			What it takes to lead other people effectively is discussed.	
