Theme	ThemeID	ParentTheme	Domain	RelatedThemes	Tags	Definition	Example
facing a conspiracy	451	facing general adversity	the human condition	conspiracy theory		Someone faces a secret conspiracy that aims to produce some nefarious outcome.	Ensign Ro got herself mixed up in an elaborate conspiracy to eradicate a Bajoran terrorist cell in the eponymous episode tng5x03 "Ensign Ro".
facing a ferocious beast	452	survival	the human condition			Someone experiences what it is like to face a fearsome animal or some other kind of beast-like creature.	Captain Kirk was the victim of a nearly fatal mugato attack in tos2x16 "A Private Little War".
facing a fight to the death	453	survival	the human condition			Someone experiences what it is like to be in a fight to the death.	Spock got the better of Captain Kirk in the mother of all fights to the death in tos2x05 "Amok Time".
facing a hostage situation	454	facing general adversity	the human condition			Someone is involved in a hostage situation.	The Pakled held Geordi hostage in the hopes of getting some Federation goodies in exchange for the engineer in tng2x17 "Samaritan Snare".
facing a mortal enemy	455	survival	the human condition			Someone faces their mortal enemy, i.e., someone who would be happy to see them dead.	Captain Picard faced the evil genius Dr. James Moriarty in tng2x03 "Elementary, Dear Data" and tng6x12 "Ship in a Bottle".
facing a pandemic	456	facing general adversity	the human condition			Someone tries to deal with a highly infectious disease running rampant through a population.	A weary band of space lepers had their sights set on bringing themselves, and possibly their disease, to planet Haven in tng1x11 "Haven".
facing a ship takeover	457	facing general adversity	the human condition			Someone tries to deal with their vessel being space-jacked.	A ragtag band of space hippies took over the Enterprise with the intention of commandeering the vessel and taking it to the mythical planet Eden in tos3x20 "The Way to Eden".
facing adversity	458	challenges in life	the human condition	coping with adversity		The category of themes that center around someone confronting something difficult that they actively endeavor to overcome. This includes matters of survival and making a self-sacrifice.	
facing an invading force	459	survival	the human condition			Someone experiences what it is like when an invading force comes to attack them and their homeland.	The Delta Rana IV colonists faced a Husnock invading force very poorly by getting slaughtered down to the last man in tng3x03 "The Survivors".
facing an overpowering adversary	460	survival	the human condition			Someone learns what it is like to come up against an opponent that is many times more capable than themselves.	The future of humanity was at stake in tng4x01 "The Best of Both Worlds, Part II" when the Borg came knocking in Sector 001: Earth’s sector.
facing general adversity	461	facing adversity	the human condition			The category of themes that involve someone confronting something difficult that they actively endeavor to overcome, but that is not a matter or survival and does not require a self-sacrifice.	
facing life in an insane asylum	462	facing general adversity	the human condition			Someone faces living as a patient in an insane asylum with few prospects of release.	Nefarious aliens made Riker believe he might live out his life in an insane asylum on Tilonus IV in tng6x21 "Frame of Mind"
facing life in captivity	463	facing general adversity	the human condition			Someone faces living as a captive with no reasonable prospect of escape.	Fivas Fajo kidnapped Data to sit the android on display in his collection of rare and unusual objects tng3x22 "The Most Toys".
facing mysterious adversity	464	facing general adversity	the human condition			Someone tries to deal with inexplicable and mysterious, undesirable events that threaten them.	Captain Kirk was at a loss for how to explain why everyone had disappeared from the Enterprise in tos3x17 "The Mark of Gideon".
facing one's darker side	465	introspection	the human condition			Someone analyzes their own less desirable attributes and inclinations.	William T. Riker saw his darker side in Thomas Riker in tng6x24 "Second Chances", but the feeling was mutual.
facing one's darkest fear	466	facing general adversity	the human condition			Someone comes face to face with what they fear the most.	Barclay mustered the courage to face his darkest fear of going through the transporter in tng6x02 "Realm of Fear".
facing wrongful accusations	467	facing general adversity	the human condition			Someone must deal with being falsely accused of a misdeed.	Scotty was falsely accused of murdering three women while on shore leave on Argelius II in tos2x07 "Wolf in the Fold".
fairness	468	agreeable characteristic	the human condition			A character displays the ability to make equitable judgements without prejudice or bias.	
faith in a friend	469	one-on-one interaction	the human condition			Someone supports a friend by showing unwavering trust in their abilities.	Captain Picard decided to trust Guinan implicitly, albeit after been on the receiving end of  a stern talking to from the Ten Forward bartender, in tng3x15 "Yesterday's Enterprise".
faith vs. reason	470	organized religion	the pursuit of knowledge			The central question in the battle between the secular (science) and the ecclesiastical (religion): Is there a valid source of knowledge, i.e., revelation, that is not derived from reason and not subject to scientific experimentation?	
fall out from a one night stand	471	romantic relationship	the human condition			The various interpersonal troubles that can come after a poorly considered one night stand are illustrated. Can you remain friends?	Helen Noel reminded Captain Kirk about what happened between them when he dropped in at the science lab Christmas party in tos1x10 "Dagger of the Mind".
falling out of friendship	472	one-on-one interaction	the human condition			Two friends stop being friends, for example, because they come to disagree about an important issue.	
false flag operation	473	war	society			A faction that wants to make war creates an incident and blames it on the enemy. The real warmongerers can then attack while falsely claiming that their targeted enemy started the hostilities.	The Enterprise-D nearly destroyed a Lysian space station in revenge but then it turned out the whole situation had been orchestrated by the Sataarans in tng5x14 "Conundrum".
familial love	474	love	the human condition			The category of themes that pertain to love among family and friends.	
familial relations	475	family affairs	the human condition			The category of themes that point to relationships between persons who are close enough to plausibly think of each other more-or-less as family.	
family affairs	476	social interaction	the human condition			The category of themes that are about interpersonal relations and interaction within a family.	
fascism	477	social order	society			There is a system of authoritarian nationalism in the best traditions of Mussolini’s Italy (1922-43) or Hitler’s Third Reich (1933-45).	Federation cultural observer John Gill ill-advisedly instituted a Nazi state on the planet Ekos in tos2x23 "Patterns of Force".
father and daughter	478	familial relations	the human condition			The relationship between a father and his daughter is featured.	
father and son	479	familial relations	the human condition			The relationship between a father and his son is featured.	
father and son rivalry	480	growing up	the human condition		juvenile	There is conflict between father and son in keeping with the Oedipusean tradition.	Riker settled his long-standing rivalry with his father Kyle in the anbo-jtytsu dohyo tng2x14 "The Icarus Factor".
fatherly disappointment in a son	481	parenting	the human condition			A son is not all that his father wishes him to be.	
fear	482	unpleasant emotion	the human condition	apprehension, terror	Plutchik-emotion	Someone experiences anxiety about the near future in a way that rises above "apprehension", but is not so intense that they loose self-control and scream out in "terror". This theme is typically used when a character percieves a clear and present physical danger.	Beverly revealed her fear of heights to Captain Picard in tng7x08 "Attached".
fear for one's life	483	unpleasant emotion	the human condition			A character is terrified because there is a chance that they may soon be killed or otherwise die.	
fear of an unknown future	484	unpleasant emotion	the human condition			A character is afraid owing to the prospect of an uncertain and unfamiliar future.	
fear of the lord	485	organized religion	the pursuit of knowledge			The believers sense of respect, awe and submission in front of their god.	
fear of the unknown	486	unpleasant emotion	the human condition			A character is afraid because they have encountered something that is foreboding but unknown.	
federalism	487	social order	society			Societies with distinct political systems have come together and formed an overarching level of government that works in tandem with the individual systems.	
feeling of helplessness	488	state of mind	the human condition			Someone feels distress at being unable to do something about a bad situation.	
feeling of unfulfillment	489	state of mind	the human condition			Someone feels that their life lacks purpose and they are achieving nothing meaningful.	
felinoid alien	490	earth-life inspired life form	alternate reality		aliens	An alien race patterned after cats.	A race of carnivorous, feline humanoids, known as the Kzinti, were featured in tas 1x14 "The Slaver Weapon".
female bonding	491	one-on-one interaction	the human condition			Two mature adult women strengthen their friendship by engaging in stereotypically female bonding activities such as chit-chatting about Willaim T. Riker.	Ro found her confidant in Guinan in tng5x03 "Ensign Ro".
female fickleness	492	female stereotype	society			A woman changes her opinions and affections suddenly and for no external reason, to the extent that the sexist stereotype is suggested.	Eleen of the Ten Tribes on Capella IV could not decide if she’d rather have McCoy as the father of her child or see him dead in tos2x03 "Friday's Child".
female gold digging	493	female stereotype	society			A woman pursues a potential mate because of his wealth and power.	
female independence	494	the battle of the sexes	society			The woman struggle to become less dependent on others, particularly men, is featured.	Female android Rayna was perhaps oppressively tied to her father and suitor Flint in tos3x21 "Requiem for Methuselah".
female jealousy	495	female stereotype	society			A woman exhibits jealousy towards other women over men or appearances.	
female need for male companionship	496	female stereotype	society			The sexist idea that women much more than men have a particular need for a life partner is featured.	
female stereotype	497	gender issue	society			The category of themes that (correctly or incorrectly) highlight attributes that are believed to be typical of contemporary women. Many of these may be considered sexist today.	
female vanity	498	female stereotype	society			A woman shows excessive concern for her appearance.	
femininity	499	female stereotype	society			Qualities and mannerisms that are associated with the feminine sex in contemporary society are featured.	
fiancée and fiancée	500	familial relations	the human condition			The relationship between two people engaged to be married is featured.	
fictional apparatus	501	novel sci-fi concept	alternate reality			The category of themes that feature fantastical gadgets like tractor beams and teleporters.	
fight vs. flee	502	personal practical dilemma	the human condition			Someone must decide, in a given confrontational situation, whether the better course of action is to stay and fight or to flee (perhaps to survive to fight another day).	
filial love	503	familial love	the human condition			The love of a child for their parent is featured. This is not used for very young children who just cling to their parents instinctively.	
film appreciation	504	the fine arts and the humanities	the pursuit of knowledge			How best to appreciate films is discussed.	Edith Keeler wanted to catch a Clark Gable film with Captain Kirk in tos1x28 "The City on the Edge of Forever", but she got herself hit by a car instead.
first crush	505	romantic relationship	the human condition	teen romance		A young person becomes romantically infatuated for the first time.	
first strike tactic	506	the art of war	the pursuit of knowledge			Combatants decide to attack preemptively because they are convinced their opponent is about to attack.	Worf articulated this combat advice in tng2x02 "Where Silence Has Lease".
fish-like alien	507	earth-life inspired life form	alternate reality		aliens	An alien race patterned after fish.	Worf considered the fish-like Antedeans to be "a handsome race" in tng2x19 "Manhunt"
flatscreen TV	508	real gadget	alternate reality			A TV with an entirely flat screen. This was sci-fi back in the 60s.	Flint had a fancy flatscreen TV which he used for illicit surveillance of his guests in tos3x21 "Requiem for Methuselah". People did not have such devices when this episode was made so it constitutes sci fi.
flattery	509	one-on-one interaction	the human condition			Someone takes unusual pains to flatter someone else.	Berlinghoff Rasmussen nearly conned the Enteprise-D crew after putting them at ease with his silver tongue in tng5x09 "A Matter of Time".
flee to fight another day	510	the art of war	the pursuit of knowledge			Combatants decide to run from a battle in which they are at a disadvantage and holds that this is sensible rather than cowardice as it will allow them to fight again later.	
flirtation	511	romantic relationship	the human condition			Playful and seductive manners are employed to subtly express romantic interests in a prospective partner.	Thadiun Okona, a self-described rogue, not so subtly expressed his romantic interest in Lt. B.G. Robinson in tng2x04 "The Outrageous Okona".
floating city	512	mastering space	alternate reality			A city suspended in air by means of anti-gravitational technology.	The political elite on Ardana lived in a floating city named Stratos in tos3x19 "The Cloud Minders".
flying saucers	513	crackpot theory	the pursuit of knowledge		aliens	The crackpot theory that flying saucers or other U.F.O.’s are sometimes sighted in the sky.	The 60s era Air Force pilot John Christopher sighted the Enterprise in low Earth orbit in tos1x21 "Tomorrow is Yesterday".
food synthesizer	514	fictional apparatus	alternate reality			A contraption used to produce any of a vast library of tasty meals and foods.	
for better or for worse	515	romantic relationship	the human condition			Two lovers stick together in spite of significant challenges to their relationship.	
forbidden love	516	romantic love	the human condition			The love between two people who can't be together because society deems their relationship unnatural.	
force field	517	fictional apparatus	alternate reality			Technology used to produce a (more or less) invisible and impenetrable wall of "force".	
force majeure existential risk	518	existential risk	alternate reality			The category of themes that suggest ways in which life on Earth (or some inhabited planet) could end because of essentially natural events that we do not control and may have little hope of preventing. When will the sun explode?	
forced resettlement	519	human rights	society			We are made to ponder when, if ever, it can be morally justified to coerce someone into moving away from where they have long lived.	The Federation sough to resettle the Native Americans of Dorvan V in order to honor a treaty in tng7x20 "Journey's End".
forced sterilization	520	past and present moral controversy	society			We are asked when, if ever, it is acceptable to prescribe sterilization - typically in the context of crime (e.g. for sex offenders).	The Gidoneans conspicuously refused any kind of contraceptive solution in tos3x17 "The Mark of Gideon".
fortitude	521	agreeable characteristic	the human condition	diligence		Someone shows a capacity for putting up with hardship and pulling through in spite of it.	
fraternal love	522	familial love	the human condition	sororal love		The love of brother for brother is featured.	
fraud	523	contemporary social issue	society			The ramifications of legal fraud in society are explored.	Ardra conned an entire planet by pretending to be their Antichrist in tng4x13 "Devil's Due".
free inquiry vs. obedience	524	social dichotomy	society			The social principle of being allowed to speak freely without fear of retribution is contrasted with the principle of being obedient to higher authorities and greater causes. Should we, for example, stop people from advertising medicines that experts believe to be fake?	
free love	525	way of life	the human condition			Someone shares their love freely and (at least ostensibly) accepts that others do the same. This is as opposed to monogamy and being jealous about a partners love affairs.	The hedonistic Edo from the planet Rubicun III shared their love freely in tng1x08 "Justice".
free love utopia	526	utopia	alternate reality			Society is seemingly paradisical because everyone in it shares their love freely without restraint, shame, or envy.	The hedonistic Edo from the planet Rubicun III shared their love freely with anyone who happened to pass by as long (as long as they were of age) in tng1x08 "Justice".
freedom from torture	527	human rights	society			We are made to ponder what treatments are to be considered "torture" and when, if ever, it may be morally justified to employ it.	
freedom of information vs. patent system	528	past and present moral controversy	society			We are asked to what extent, if any, information can be owned and whether there should be restrictions on the sharing and use of information through things like patents and copyright.	Harry Mudd discussed such legalisms with Kirk in tos2x12 "I, Mudd".
freedom of movement	529	human rights	society			We are made to ponder when and to what extent people should have the freedom and capability to go where they please.	The colonists on Moab IV wrestled with the dilemma of whether people were allowed to leave in tng5x13 "The Masterpiece Society" since it would upset their fragile social order.
freedom of religion	530	human rights	society			We are made to ponder to what extent people should be free to practice what religious beliefs they please. What you believe may be your own business but is it ok to scare your children with stories of hellfire and brimstone?	Alternative religions were frowned upon in ancient space Rome in tos2x14 "Bread and Circuses".
freezing up in a critical moment	531	coping with stress	the human condition			Someone can’t handle the stress of an intense situation and freezes up in a critical moment when they should have acted.	Dave Bailey froze up at the conn when Captain Kirk ordered him to fire the main phasers at a menacing space cube in tos1x02 "The Corbomite Maneuver".
friendship	532	one-on-one interaction	the human condition			The friendship between two characters is featured.	
fright tactic	533	the art of war	the pursuit of knowledge			Combatants take some action to scare and demoralize an enemy.	Giant ape creatures were scared off with technological wizardry in tos1x13 "The Galileo Seven", albeit without lasting success.
frustration	534	unpleasant emotion	the human condition			Someone exhibits irritation as a consequence of being unable to influence events or achieve what they desire.	Sirna Kolrami forfeited a game of Strategema against Data in frustration in tng2x21 "Peak Performance".
future point of view	535	views and customs	society			We are shown what things might seem like in the here and now if viewed from a future person’s perspective.	
galactic barrier	536	what's out there	alternate reality			A hypothetical negative energy field surrounding the Milky Way Galaxy.	The Enterprise traversed the galactic barrier in tos1x01 "Where No Man Has Gone Before".
galactic master race	537	superior life form	alternate reality		aliens	There is a race of beings that have achieved dominance over most other alien races in their galaxy.	The Slavers a billion years ago used their weird mental powers to dominate the galaxy in tas1x14 "The Slaver Weapon".
galaxy-wide holy war	538	man-made existential risk	alternate reality			War primarily caused by religious differences is fought on so wide a scale that it imperils all life in a galaxy.	The ancient artifact "The Soul of Skorr" could have ignited a holy war throughout the galaxy in tas1x16 "The Jihad", but a team of brave heroes with Kirk in the lead managed to intervene.
gambling addiction in society	539	contemporary social issue	society			The social consequences of gambling addiction, such as the harm caused to those other than the gambler, are explored.	The pursuit of a good gamble had turned the Triskelian society into one of slavery and sadism in tos2x17 "The Gamesters of Triskelion".
gas giant collision	540	what's out there	alternate reality			Two gas giants, like Jupiter and Saturn, collide to form a larger planet.	The collision of Detria II with Detria VI was a spectacular process that culminated in the formation of a new star in tng6x12 "Ship in a Bottle".
gas giant dwelling alien	541	inhospitable environment dwelling life form	alternate reality		aliens	Aliens that live in the atmospheres of gas giants, i.e., large planets made largely of gas, like Jupiter.	A gas giant dwelling alien appeared to Geordi in the form of his mother in tng7x03 "Interface".
gaseous life form	542	inorganic life form	alternate reality		aliens	Aliens composed out of gaseous matter. They are not to be confuse with incorporeal aliens, whose bodies have no kind of matter at all.	Swirls of ionised gas known as the Calamarain sought vengeance against Q in tng3x13 "Deja Q".
gender issue	543	domestic social issue	society	matriarchy, patriarchy		The category of themes that center on gender, and that typically discuss the different roles of the two sexes in society.	
gender neutral alien	544	biologically distinguished life form	alternate reality		aliens	A sentient species whose members are all the same gender, i.e., neither male nor female.	The J'naii of tng5x17 "The Outcast" are a neither male nor female barring a few curious deviants.
general relativity	545	topic in science	the pursuit of knowledge			A theory of gravitation proposed by Albert Einstein that generalizes special relativity and Newton’s law of universal gravitation, providing a unified description of gravity as a geometric property of space and time.	Holographic recreations of Stephen Hawking, Isaac Newton, and Albert Einstein quibbled about this and other things in tng6x26 "Descent".
generation loss	546	topic in science	the pursuit of knowledge			The loss of quality that occurs between subsequent copies of something, as is observed with photocopy of a photocopy of a photocopy. In the natural world, natural selection tends to mitigate this effect.	The repeated cloning of people illustrated this principle in tng2x18 "Up The Long Ladder".
generosity	547	heavenly virtue	the human condition	kindness		Someone goes out of their way to help someone else in material terms without being strongly motivated by love or duty: The other may be a stranger or an enemy.	The philosopher king Parmen bestowed gifts upon Captain Kirk, Spock, and McCoy in tos3x12 "Plato's Stepchildren".
genetic engineering	548	scientific discipline	the pursuit of knowledge			The scientific study of genes and ways in which they can be modified.	
genetic engineering utopia	549	utopia	alternate reality			Society is supposedly made perfect through the careful removal of anything undesirable in our genomes.	
genetically engineered supersoldier	550	human enhancement	alternate reality			A soldier that has been genetically engineered to be capable of operating well beyond normal human limits or abilities.	The Angosians had, during the Tarsan Wars, chemically and genetically enhanced their soldiers, we were told in tng3x11 "The Hunted".
genocide	551	war	society			A whole nation or large ethnic group is killed en masse.	
geoengineered planet	552	mastering space	alternate reality	terraformed planet		A planet that has been consciously modified in some grand way, for example by ways of interfering with its climate or volcanic activity.	
geoengineering	553	scientific discipline	the pursuit of knowledge			The scientific study of large scale methods by which the general conditions on a planet can be wilfully modified. This may involve the shaping of land masses and oceans, or modification of the climate.	
geometric growth	554	topic in science	the pursuit of knowledge			A sequence of numbers where each term after the first is obtained by multiplying the previous one by a non-zero constant.	Sulu explained how Gary Mitchell's psychic ability was increasing geometrically in tos1x01 "Where No Man Has Gone Before".
getting a taste of one's own medicine	555	introspection	the human condition			Someone is subjected to a treatment they had previously meted out to others, and starts thinking about the experience.	
ghosts	556	superstition	the pursuit of knowledge			The soul or spirit of a deceased person appears after death among the living.	
giant ape alien	557	earth-life inspired life form	alternate reality		aliens	A sentient alien race patterned after giant, brutish apes.	The Taurus II Anthropoids of tos1x13 "The Galileo Seven" were a giant ape-like species that menaced the shuttlecraft Galileo crew.
giant space amoeba	558	spaceborne life form	alternate reality	world eating space cloud		An amoeba-like being of enormous proportions but with internal components analogous those of living cells, i.e., organelles.	Such a being was encountered in tos2x19 "The Immunity Syndrome".
girl power	559	the battle of the sexes	society			The idea that women are more capable of feats than perhaps society and themselves give them credit for.	
give-you-anything scanner	560	fictional apparatus	alternate reality			A device used to make virtually anything happen at the push of a button.	Barash’s mother had kindly outfitted him with such devices in tng4x08 "Future Imperfect" before abandoning him.
global unification under a central authority	561	social order	society			There is a planet-wide political system with a single authority at the top and war between sovereign states is naught but a distasteful memory.	
global warming	562	force majeure existential risk	alternate reality			The greenhouse effect and/or other processes cause the temperature on a planet to rise and civilization collapses.	Global warning threatened civilization on the Beta moon of Peliar Zel in tng4x23 "The Host".
globular cluster	563	what's out there	alternate reality			A spherical collection of stars orbiting the central bulge of a galaxy.	The Enterprise-D entered the Amargosa Diaspora, an unusually dense globular cluster, in tng6x05 "Schisms".
gluttony	564	deadly sin	the human condition			A character indulgences in food and drink to the point of excess.	Troi enjoyed her chocolate cake just a little bit too much in tng3x08 "The Price".
government concealing information	565	contemporary social issue	society			The pros and cons of government secrecy to society are explored.	The Ressikan community on Kataan were kept in the dark about the impending doom of their civilization in tng5x25 "The Inner Light".
grabbing power vs. forgoing power	566	personal ethical dilemma	the human condition			Someone gets the opportunity to grab power with which to shape their world, and must choose whether they are really up to the task.	
graciousness in defeat	567	amicable disposition	the human condition	magnimity in victory		Someone accepts a defeat with dignity.	Dr. James Moriarty conceded defeat with impeccable Victorian poise in tng2x03 "Elementary, Dear Data".
grammar pedantic alien	568	culturally distinguished life form	alternate reality		aliens	An alien that put unusual emphasis on precision in the use of language.	The Treaty of Armens between the Sheliak and the Federation was said to have contained 500,000 words and taken 372 Federation legal experts to draft in tng3x02 "The Ensigns of Command".
grandmother and grand daughter	569	familial relations	the human condition			The relationship between a grandmother and her grand daughter is featured.	Beverly mourned her late grandmother and reminisced in tng7x14 "Sub Rosa".
great need vs. breaking the law	570	personal ethical dilemma	the human condition			The following kind of dilemma is illustrated: Is it morally ok to break certain laws if that is the only way to protect your life? A friend’s life? A pet’s life? Your house?	The Bynars saw no other choice than to hijack the Enterprise-D to save their homeworld in tng1x15 "11001001". If they had asked, the Federation might have said no.
great need vs. human rights	571	social ethical dilemma	society			The following kind of dilemma is illustrated: Can it be morally justified to violate human rights, for example to take someone’s children, if that is the only way to protect your own people?	
grief	572	unpleasant emotion	the human condition	pensiveness, sadness	Plutchik-emotion	A character exhibits that deep "sadness" which comes with loosing someone near and dear. This typically involves the rending of garments and shedding of tears as the character loses self-control.	Captain Kirk both rued and lamented the loss crewman Hendorff in tos2x09 "The Apple". Hendorff, a token redshirt, was shot with poison darts by a pod plant.
group interaction	573	social interaction	the human condition			The category of themes that are about interpersonal relations and interaction within a non-family group of more than two people.	
growing up	574	family affairs	the human condition			The category of themes that feature the various problems we may face during early part of our life, i.e., childhood and adolescence.	
guardian and child	575	familial relations	the human condition		juvenile	The relationship between a legal guardian of a child and that child is featured.	Captain Picard reluctantly accepted the responsibility of serving as guardian to Jono in tng4x04 "Suddenly Human".
guerrilla tactics	576	the art of war	the pursuit of knowledge			Tactics suitable for a small disadvantaged force going up against a greater enemy are used. This is not to be confused with terrorist tactics which involve the targeting of civilians.	
guilt and evidence	577	social ethical dilemma	society		crime and punishment	The following kind of dilemma is illustrated: How much and how strong evidence should we require before considering someone guilty of a crime?	
gunboat diplomacy	578	diplomacy	society			A state representative uses the sinister threat of violence to gain an upper hand in diplomatic negotiation and may, essentially, be dictating terms.	Diplomatic contact was established at gunpoint with inhabitants of star cluster NGC 321 in tos1x23 "A Taste of Armageddon".
habitable asteroid	579	what's out there	alternate reality	habitable asteroid, habitable planet in a binary star system		An asteroid that is hypothetically amenable to human life.	Zefram Cochrane, the inventor of warp drive, was found living on a habitable asteroid in tos2x02 "Metamorphosis".
habitable moon	580	what's out there	alternate reality	habitable planet, habitable planet in a binary star system		A moon that is hypothetically amenable to human life.	Captain Picard, Wesley, and the irascible mining shuttle captain Dirgo crash landed on a barely habitable desert moon in tng4x09 "Final Mission".
habitable planet in a binary star system	581	what's out there	alternate reality	trinary star system with a habitable planet		A planet in a binary star system, that is hospitable to humanoid life.	Harry Mudd fled the Enterprise in an absconded shuttlecraft to planet in a binary star system inhabited by a giant, menacing worm in tas1x10 "Mudd's Passion".
habitable planet in a trinary star system	582	what's out there	alternate reality	binary star system with a habitable planet		A planet in a trinary star system, that is hospitable to humanoid life.	A trio of disembodied brain aliens ran a humanoid fighting ring on just such a planet in tos2x17 "The Gamesters of Triskellion".
handheld lab	583	fictional apparatus	alternate reality			A hand-held multifunction device used for sensor scanning, data analysis, and recording data. In other words: a tricorder.	
handheld multifunction super gun	584	fictional apparatus	alternate reality			A gun-like device used for all sorts of purposes, including as laser weapon, telescope, pocket calculator, and rocket motor.	An ancient slaver weapon of that kind was uncovered in a stasis box in tas1x14 "The Slaver Weapon".
hate begets hate	585	life lesson	the human condition			The committing of hateful acts cause others to do the same, leading to a vicious self-reinforcing cycle. The same goes for violence.	Areel Shaw argued that it was basic human nature to hate a person who hates you in tos1x14 "Court Martial".
hatred unites	586	human nature	the pursuit of knowledge			People who would otherwise not be allies come to work together because they share the same hated enemy.	It was their hatred of the Zeons that united the Ekosians in tos2x23 "Patterns of Force".
having a change of heart	587	introspection	the human condition			Someone undergoes a significant change their opinions or tastes.	
having a preconception challenged	588	introspection	the human condition			Someone is made to question beliefs they had previously taken for granted.	
heavenly virtue	589	human emotion	the human condition	deadly sin	positive	The category of themes that illustrate the traditional "heavenly virtues" of Christian theology.	
hedonism	590	disagreeable characteristic	the human condition	lust		A character is driven by the pursuit of physical pleasure.	The Edo were quickly revealed to be full-blown sexual hedonists in tng1x08 "Justice".
heroism	591	agreeable characteristic	the human condition			Good deeds are made at great personal risk or great personal sacrifice.	
hibernating alien	592	biologically distinguished life form	alternate reality		aliens	A sentient species that like to spend extended periods of time in a coma-like sleep to preserve energy.	The fish-like Antedeans of tng2x19 "Manhunt" preferred to hibernate on long space-flights.
high ground advantage	593	the art of war	the pursuit of knowledge			Combatants have a military advantage by being at a greater elevation than their opponent. Typically the elevated side gain visibility and can use gravity to their advantage.	Captain Kirk was climbing a mountain in tos1x19 "Arena". Why was he climbing a mountain? To gain a high ground advantage over a Gorn captain against whom he was pitted in a fight to the death.
holding one's tongue	594	introspection	the human condition			Someone judiciously refrains from saying something they are otherwise inclined to blurt out.	
homework vs. play	595	life choice	the human condition			A child must choose what is more important to them: boring homework or frivolous play.	Alexander was very much swayed by Lwaxana's arguments for choosing play over homework in tng5x20 "cost of Living".
honesty	596	agreeable characteristic	the human condition			Someone displays notable truthfulness and lack of deceit.	
honor	597	agreeable characteristic	the human condition			A character steadfastly sticks to a traditional moral code in spite of temptation to do otherwise. It nearly always has to do with being honest and defending ones reputation. It very often involves Klingons.	Worf, being a true man of honor, implored the Klingon authorities to grant honorable deaths to three Klingon renegades whom he had come to respect in tng1x20 "Heart of Glory".
hope	598	pleasant emotion	the human condition			A character feels that events they wish for may come about.	
hopeless search vs. to abandon hope	599	personal practical dilemma	the human condition			Someone must choose in a search-and-rescue situation, whether and when the better course of action becomes to give up hope.	Captain Kirk and Commissioner Ferris debated whether to keep up the search for the Galileo shuttlecraft in tos1x13 "The Galileo Seven".
hospitality	600	agreeable characteristic	the human condition			Someone is very hospitable towards their guests.	Captain Kirk held a banquet for Khan Singh to welcome the former dictator of Earth to the 23rd century in tos1x24 "Space Seed".
hubris	601	disagreeable characteristic	the human condition	pride, lesson in humility		Someone exhibits excessive pride or self-confidence. This theme is typically used when someone gets a little too full of themselves and ends up getting a lesson in humility.	Riker was riding on his high horse after having been granted Q powers in tng1x10 "Hide and Q".
human aspiration	602	purpose in life	the human condition			The category of themes that deal with our human hopes and dreams, and the question of what we want out of life.	
human body composition	603	topic in science	the pursuit of knowledge			The human body is 65% oxygen, 18% carbon, 10% hydrogen, 3% nitrogen, and 4% other elements as measured by mass.	
human characteristic	604	human personality	the human condition	human disposition, human emotion		The category of themes that center around character traits, i.e., inborn or acquired attributes that a character may exhibit more or less permanently. "Heroism" and "cowardice" are two illustrative examples.	
human cloning	605	mind technology	alternate reality	personal identity		The technology to create new individuals that have the same dna as an original, but not necessarily have anything else in common.	
human disposition	606	human personality	the human condition	human characteristic, human emotion		The category of themes that center around attitudes one person can have to another or, occasionally, to some thing. "Contempt" and "compassion" are illustrative examples.	
human emotion	607	human personality	the human condition	human characteristic, human disposition		The category of themes that center on those conscious inner mental states that we call emotions. "Rage" and "happiness" are illustrative examples.	
human enhancement	608	novel sci-fi concept	alternate reality			The category of themes that suggest future technology which will enhances the minds and bodies of men and women: plug-in learning adn rejuvenation technology, for example.	
human nature	609	classical philosophy	the pursuit of knowledge			The distinguishing characteristics—including ways of thinking, feeling, and acting—which humans tend to have naturally.	
human need	610	purpose in life	the human condition			The category of themes that deal with the things we humans tend to need in order to consider ourselves healthy, content, and fulfilled in life.	
human personality	611	the human condition	the human condition			The category of themes that are about individual mental states. They are further subdivided into those that deal with plain dispositions to others, individual emotions, general states of mind, and broader characteristics.	
human pleasure	612	purpose in life	the human condition			The category of themes that deal with human passions and pleasures.	
human v2.0	613	utopia	alternate reality			Society is supposedly made perfect by the introduction of a new breed of human, i.e., version 2.0. Out with the old, in with the new.	Dr. Roger Korby had a dream in tos1x09 "What Are Little Girls Made Of?" that one day mortal human boys and girls will be mind-transfered into the bodies of immortal android boys and girls.
humanoid evolution	614	topic in science	the pursuit of knowledge			The actual past hominid evolution on Earth, and the the hypothetical past or future humanoid-alien evolution in space.	
human rights	615	values and ethics in society	society			The category of themes that centre around basic rights we believe should be awarded to all human(oid)s irrespective of political circumstances or differences in nationality, religion, ethnicity, etc.	
humanoid testing	616	medical ethics	society			We are asked whether the ends can justify the means when someone tests medical procedures and drugs on patients without their informed consent.	
humility	617	heavenly virtue	the human condition	lesson in humility, pride		Someone downplays their own abilities or receives a lesson in humility that appears effective.	
husband and wife	618	familial relations	the human condition			The relationship between husband and wife is featured.	Harry Mudd bickered with an android replica of his wife, Stella, in tos2x11 "I, Mudd".
